theta,hit_rate,mispoint_rate,miss_rate,precision,fpr_c0,youden,n_hit,n_mis,n_miss
1.2,0.8888888888888888,0.0,0.1111111111111111,1.0,0.3333333333333333,0.8888888888888888,16,0,2
1.25,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.3,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.35,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.4,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.45,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.5,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.55,0.7777777777777778,0.0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778,14,0,4
1.6,0.7777777777777778,0.0,0.2222222222222222,1.0,0.2222222222222222,0.7777777777777778,14,0,4
1.65,0.7777777777777778,0.0,0.2222222222222222,1.0,0.2222222222222222,0.7777777777777778,14,0,4
1.7,0.7777777777777778,0.0,0.2222222222222222,1.0,0.2222222222222222,0.7777777777777778,14,0,4
1.75,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2222222222222222,0.6666666666666666,12,0,6
1.8,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2222222222222222,0.6666666666666666,12,0,6
1.85,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2222222222222222,0.6666666666666666,12,0,6
1.9,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2222222222222222,0.6666666666666666,12,0,6
1.95,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2222222222222222,0.6666666666666666,12,0,6
2.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2222222222222222,0.6666666666666666,12,0,6
